location_id,time_id,weather_code_id,temperature_2m_max,temperature_2m_min,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant
0,202210600,63,27.5,17.0,45544.14,3693.77,13.3,13.3,0,15,25.0,44.3,55
0,202210700,53,20.1,16.6,45612.15,0.0,3.8,3.8,0,18,16.2,27.7,19
0,202210800,51,20.5,16.5,45679.98,0.0,0.2,0.2,0,2,19.5,35.6,4
0,202210900,3,24.5,17.2,45747.57,21645.89,0.0,0.0,0,0,12.6,23.0,56
0,202211000,3,24.7,17.4,45814.89,23154.91,0.0,0.0,0,0,8.7,18.0,119
0,202211100,51,26.4,19.2,45881.87,23543.81,0.8,0.8,0,5,13.3,25.9,145
0,202211200,51,29.5,22.1,45948.47,30840.54,0.5,0.5,0,5,20.7,40.7,155
0,202211300,51,30.8,23.3,46014.64,20783.96,0.3,0.3,0,3,16.5,29.2,137
0,202211400,51,32.7,24.3,46080.3,31703.81,0.1,0.1,0,1,19.9,34.6,150
0,202211500,3,34.0,24.4,46145.44,43012.87,0.0,0.0,0,0,18.4,33.8,144
0,202211600,3,34.3,24.5,46209.97,42975.22,0.0,0.0,0,0,17.5,31.3,111
0,202211700,51,33.7,24.9,46273.85,33024.28,0.3,0.3,0,3,20.3,36.0,128
0,202211800,51,32.4,24.0,46337.01,22126.11,0.5,0.5,0,4,22.1,42.1,140
0,202211900,53,31.5,25.3,46399.4,26613.66,1.7,1.7,0,8,21.2,41.0,148
0,202212000,63,31.2,19.2,46460.96,36000.0,14.5,14.5,0,15,24.0,42.5,105
0,202212100,51,22.9,18.6,46521.64,14400.0,0.2,0.2,0,2,23.3,45.4,22
0,202212200,3,26.8,17.7,46581.36,43064.12,0.0,0.0,0,0,18.4,35.6,21
0,202212300,2,27.8,17.3,46640.15,43177.83,0.0,0.0,0,0,13.0,26.3,62
0,202212400,1,28.8,18.5,46698.47,43199.49,0.0,0.0,0,0,15.8,27.7,109
0,202212500,3,29.1,20.2,46756.35,41131.94,0.0,0.0,0,0,14.9,27.0,121
0,202212600,51,28.8,22.1,46813.73,24983.8,0.7,0.7,0,3,6.9,16.9,106
0,202212700,51,30.3,23.4,46870.57,28593.11,0.9,0.9,0,8,16.1,30.2,136
0,202212800,61,30.4,23.4,46926.83,33827.74,7.7,7.7,0,17,18.9,36.4,137
0,202212900,55,30.0,24.3,46982.44,18056.27,3.3,3.3,0,12,18.3,37.4,157
0,202213000,65,30.4,24.2,47037.35,16611.23,29.4,29.4,0,14,15.2,31.3,124
0,202213100,55,31.9,24.8,47091.52,26636.98,3.2,3.2,0,9,16.7,32.0,123
0,202213200,65,29.8,24.8,47144.89,19698.99,17.6,17.6,0,13,12.6,29.9,77
0,202213300,65,30.6,22.5,47197.39,28541.55,34.3,34.3,0,18,18.3,37.4,55
0,202213400,51,29.4,23.5,47248.98,16956.35,0.1,0.1,0,1,11.7,22.0,108
0,202213500,63,26.5,20.6,47299.61,0.0,7.4,7.4,0,5,22.9,42.1,28
0,202213600,51,23.4,19.9,47349.2,13246.07,1.3,1.3,0,5,19.8,36.0,25
0,202213700,3,26.3,19.6,47397.71,38228.3,0.0,0.0,0,0,12.0,20.5,97
0,202213800,3,27.8,20.8,47445.08,33578.98,0.0,0.0,0,0,14.1,25.6,137
0,202213900,51,29.8,22.7,47491.25,31353.61,0.3,0.3,0,3,14.8,25.6,131
0,202214000,63,30.2,23.7,47536.14,28425.33,7.4,7.4,0,10,13.0,26.6,126
0,202214100,61,26.8,23.3,47579.73,6569.94,7.9,7.9,0,14,16.0,27.4,67
0,202214200,63,27.7,23.8,47621.93,6210.08,27.5,27.5,0,24,18.3,34.6,112
