time_id,day,year,month,date,hour
201802112,6,2018,1,21,12
201802113,6,2018,1,21,13
201802114,6,2018,1,21,14
201802115,6,2018,1,21,15
201802116,6,2018,1,21,16
201802117,6,2018,1,21,17
201802118,6,2018,1,21,18
201802119,6,2018,1,21,19
201802120,6,2018,1,21,20
201802121,6,2018,1,21,21
201802122,6,2018,1,21,22
201802123,6,2018,1,21,23
201802200,0,2018,1,22,0
201802201,0,2018,1,22,1
201802202,0,2018,1,22,2
201802203,0,2018,1,22,3
201802204,0,2018,1,22,4
201802205,0,2018,1,22,5
201802206,0,2018,1,22,6
201802207,0,2018,1,22,7
201802208,0,2018,1,22,8
201802209,0,2018,1,22,9
201802210,0,2018,1,22,10
201802211,0,2018,1,22,11
201802212,0,2018,1,22,12
201802213,0,2018,1,22,13
201802214,0,2018,1,22,14
201802215,0,2018,1,22,15
201802216,0,2018,1,22,16
201802217,0,2018,1,22,17
201802218,0,2018,1,22,18
201802219,0,2018,1,22,19
201802220,0,2018,1,22,20
201802221,0,2018,1,22,21
201802222,0,2018,1,22,22
201802223,0,2018,1,22,23
201802300,1,2018,1,23,0
201802301,1,2018,1,23,1
201802302,1,2018,1,23,2
201802303,1,2018,1,23,3
201802304,1,2018,1,23,4
201802305,1,2018,1,23,5
201802306,1,2018,1,23,6
201802307,1,2018,1,23,7
201802308,1,2018,1,23,8
201802309,1,2018,1,23,9
201802310,1,2018,1,23,10
201802311,1,2018,1,23,11
201802312,1,2018,1,23,12
201802313,1,2018,1,23,13
201802314,1,2018,1,23,14
201802315,1,2018,1,23,15
201802316,1,2018,1,23,16
201802317,1,2018,1,23,17
201802318,1,2018,1,23,18
201802319,1,2018,1,23,19
201802320,1,2018,1,23,20
201802321,1,2018,1,23,21
201802322,1,2018,1,23,22
201802323,1,2018,1,23,23
201802400,2,2018,1,24,0
201802401,2,2018,1,24,1
201802402,2,2018,1,24,2
201802403,2,2018,1,24,3
201802404,2,2018,1,24,4
201802405,2,2018,1,24,5
201802406,2,2018,1,24,6
201802407,2,2018,1,24,7
201802408,2,2018,1,24,8
201802409,2,2018,1,24,9
201802410,2,2018,1,24,10
201802411,2,2018,1,24,11
201802412,2,2018,1,24,12
201802413,2,2018,1,24,13
201802414,2,2018,1,24,14
201802415,2,2018,1,24,15
201802416,2,2018,1,24,16
201802417,2,2018,1,24,17
201802418,2,2018,1,24,18
201802419,2,2018,1,24,19
201802420,2,2018,1,24,20
201802421,2,2018,1,24,21
201802422,2,2018,1,24,22
201802423,2,2018,1,24,23
201802500,3,2018,1,25,0
201802501,3,2018,1,25,1
201802502,3,2018,1,25,2
201802503,3,2018,1,25,3
201802504,3,2018,1,25,4
201802505,3,2018,1,25,5
201802506,3,2018,1,25,6
201802507,3,2018,1,25,7
201802508,3,2018,1,25,8
201802509,3,2018,1,25,9
201802510,3,2018,1,25,10
201802511,3,2018,1,25,11
201802512,3,2018,1,25,12
201802513,3,2018,1,25,13
201802514,3,2018,1,25,14
201802515,3,2018,1,25,15
201802516,3,2018,1,25,16
201802517,3,2018,1,25,17
201802518,3,2018,1,25,18
201802519,3,2018,1,25,19
201802520,3,2018,1,25,20
201802521,3,2018,1,25,21
201802522,3,2018,1,25,22
201802523,3,2018,1,25,23
201802600,4,2018,1,26,0
201802601,4,2018,1,26,1
201802602,4,2018,1,26,2
201802603,4,2018,1,26,3
201802604,4,2018,1,26,4
201802605,4,2018,1,26,5
201802606,4,2018,1,26,6
201802607,4,2018,1,26,7
201802608,4,2018,1,26,8
201802609,4,2018,1,26,9
201802610,4,2018,1,26,10
201802611,4,2018,1,26,11
201802612,4,2018,1,26,12
201802613,4,2018,1,26,13
201802614,4,2018,1,26,14
201802615,4,2018,1,26,15
201802616,4,2018,1,26,16
201802617,4,2018,1,26,17
201802618,4,2018,1,26,18
201802619,4,2018,1,26,19
201802620,4,2018,1,26,20
201802621,4,2018,1,26,21
201802622,4,2018,1,26,22
201802623,4,2018,1,26,23
201802700,5,2018,1,27,0
201802701,5,2018,1,27,1
201802702,5,2018,1,27,2
201802703,5,2018,1,27,3
201802704,5,2018,1,27,4
201802705,5,2018,1,27,5
201802706,5,2018,1,27,6
201802707,5,2018,1,27,7
201802708,5,2018,1,27,8
201802709,5,2018,1,27,9
201802710,5,2018,1,27,10
201802711,5,2018,1,27,11
201802712,5,2018,1,27,12
201802713,5,2018,1,27,13
201802714,5,2018,1,27,14
201802715,5,2018,1,27,15
201802716,5,2018,1,27,16
201802717,5,2018,1,27,17
201802718,5,2018,1,27,18
201802719,5,2018,1,27,19
201802720,5,2018,1,27,20
201802721,5,2018,1,27,21
201802722,5,2018,1,27,22
201802723,5,2018,1,27,23
201802800,6,2018,1,28,0
201802801,6,2018,1,28,1
201802802,6,2018,1,28,2
201802803,6,2018,1,28,3
201802804,6,2018,1,28,4
201802805,6,2018,1,28,5
201802806,6,2018,1,28,6
201802807,6,2018,1,28,7
201802808,6,2018,1,28,8
201802809,6,2018,1,28,9
201802810,6,2018,1,28,10
201802811,6,2018,1,28,11
201802812,6,2018,1,28,12
201802813,6,2018,1,28,13
201802814,6,2018,1,28,14
201802815,6,2018,1,28,15
201802816,6,2018,1,28,16
201802817,6,2018,1,28,17
201802818,6,2018,1,28,18
201802819,6,2018,1,28,19
201802820,6,2018,1,28,20
201802821,6,2018,1,28,21
201802822,6,2018,1,28,22
201802823,6,2018,1,28,23
201802900,0,2018,1,29,0
201802901,0,2018,1,29,1
201802902,0,2018,1,29,2
201802903,0,2018,1,29,3
201802904,0,2018,1,29,4
201802905,0,2018,1,29,5
201802906,0,2018,1,29,6
201802907,0,2018,1,29,7
201802908,0,2018,1,29,8
201802909,0,2018,1,29,9
201802910,0,2018,1,29,10
201802911,0,2018,1,29,11
201802912,0,2018,1,29,12
201802913,0,2018,1,29,13
201802914,0,2018,1,29,14
201802915,0,2018,1,29,15
201802916,0,2018,1,29,16
201802917,0,2018,1,29,17
201802918,0,2018,1,29,18
201802919,0,2018,1,29,19
201802920,0,2018,1,29,20
201802921,0,2018,1,29,21
201802922,0,2018,1,29,22
201802923,0,2018,1,29,23
201803000,1,2018,1,30,0
201803001,1,2018,1,30,1
201803002,1,2018,1,30,2
201803003,1,2018,1,30,3
201803004,1,2018,1,30,4
201803005,1,2018,1,30,5
201803006,1,2018,1,30,6
201803007,1,2018,1,30,7
201803008,1,2018,1,30,8
201803009,1,2018,1,30,9
201803010,1,2018,1,30,10
201803011,1,2018,1,30,11
201803012,1,2018,1,30,12
201803013,1,2018,1,30,13
201803014,1,2018,1,30,14
201803015,1,2018,1,30,15
201803016,1,2018,1,30,16
201803017,1,2018,1,30,17
201803018,1,2018,1,30,18
201803019,1,2018,1,30,19
201803020,1,2018,1,30,20
201803021,1,2018,1,30,21
201803022,1,2018,1,30,22
201803023,1,2018,1,30,23
201803100,2,2018,1,31,0
201803101,2,2018,1,31,1
201803102,2,2018,1,31,2
201803103,2,2018,1,31,3
201803104,2,2018,1,31,4
201803105,2,2018,1,31,5
201803106,2,2018,1,31,6
201803107,2,2018,1,31,7
201803108,2,2018,1,31,8
201803109,2,2018,1,31,9
201803110,2,2018,1,31,10
201803111,2,2018,1,31,11
201803112,2,2018,1,31,12
201803113,2,2018,1,31,13
201803114,2,2018,1,31,14
201803115,2,2018,1,31,15
201803116,2,2018,1,31,16
201803117,2,2018,1,31,17
201803118,2,2018,1,31,18
201803119,2,2018,1,31,19
201803120,2,2018,1,31,20
201803121,2,2018,1,31,21
201803122,2,2018,1,31,22
201803123,2,2018,1,31,23
201803200,3,2018,2,1,0
201803201,3,2018,2,1,1
201803202,3,2018,2,1,2
201803203,3,2018,2,1,3
201803204,3,2018,2,1,4
201803205,3,2018,2,1,5
201803206,3,2018,2,1,6
201803207,3,2018,2,1,7
201803208,3,2018,2,1,8
201803209,3,2018,2,1,9
201803210,3,2018,2,1,10
201803211,3,2018,2,1,11
201803212,3,2018,2,1,12
201803213,3,2018,2,1,13
201803214,3,2018,2,1,14
201803215,3,2018,2,1,15
201803216,3,2018,2,1,16
201803217,3,2018,2,1,17
201803218,3,2018,2,1,18
201803219,3,2018,2,1,19
201803220,3,2018,2,1,20
201803221,3,2018,2,1,21
201803222,3,2018,2,1,22
201803223,3,2018,2,1,23
201803300,4,2018,2,2,0
201803301,4,2018,2,2,1
201803302,4,2018,2,2,2
201803303,4,2018,2,2,3
201803304,4,2018,2,2,4
201803305,4,2018,2,2,5
201803306,4,2018,2,2,6
201803307,4,2018,2,2,7
201803308,4,2018,2,2,8
201803309,4,2018,2,2,9
201803310,4,2018,2,2,10
201803311,4,2018,2,2,11
201803312,4,2018,2,2,12
201803313,4,2018,2,2,13
201803314,4,2018,2,2,14
201803315,4,2018,2,2,15
201803316,4,2018,2,2,16
201803317,4,2018,2,2,17
201803318,4,2018,2,2,18
201803319,4,2018,2,2,19
201803320,4,2018,2,2,20
201803321,4,2018,2,2,21
201803322,4,2018,2,2,22
201803323,4,2018,2,2,23
201803400,5,2018,2,3,0
201803401,5,2018,2,3,1
201803402,5,2018,2,3,2
201803403,5,2018,2,3,3
201803404,5,2018,2,3,4
201803405,5,2018,2,3,5
201803406,5,2018,2,3,6
201803407,5,2018,2,3,7
201803408,5,2018,2,3,8
201803409,5,2018,2,3,9
201803410,5,2018,2,3,10
201803411,5,2018,2,3,11
201803412,5,2018,2,3,12
201803413,5,2018,2,3,13
201803414,5,2018,2,3,14
201803415,5,2018,2,3,15
201803416,5,2018,2,3,16
201803417,5,2018,2,3,17
201803418,5,2018,2,3,18
201803419,5,2018,2,3,19
201803420,5,2018,2,3,20
201803421,5,2018,2,3,21
201803422,5,2018,2,3,22
201803423,5,2018,2,3,23
201803500,6,2018,2,4,0
201803501,6,2018,2,4,1
201803502,6,2018,2,4,2
201803503,6,2018,2,4,3
201803504,6,2018,2,4,4
201803505,6,2018,2,4,5
201803506,6,2018,2,4,6
201803507,6,2018,2,4,7
201803508,6,2018,2,4,8
201803509,6,2018,2,4,9
201803510,6,2018,2,4,10
201803511,6,2018,2,4,11
201803512,6,2018,2,4,12
201803513,6,2018,2,4,13
201803514,6,2018,2,4,14
201803515,6,2018,2,4,15
201803516,6,2018,2,4,16
201803517,6,2018,2,4,17
201803518,6,2018,2,4,18
201803519,6,2018,2,4,19
201803520,6,2018,2,4,20
201803521,6,2018,2,4,21
201803522,6,2018,2,4,22
201803523,6,2018,2,4,23
201803600,0,2018,2,5,0
201803601,0,2018,2,5,1
201803602,0,2018,2,5,2
201803603,0,2018,2,5,3
201803604,0,2018,2,5,4
201803605,0,2018,2,5,5
201803606,0,2018,2,5,6
201803607,0,2018,2,5,7
201803608,0,2018,2,5,8
201803609,0,2018,2,5,9
201803610,0,2018,2,5,10
201803611,0,2018,2,5,11
201803612,0,2018,2,5,12
201803613,0,2018,2,5,13
201803614,0,2018,2,5,14
201803615,0,2018,2,5,15
201803616,0,2018,2,5,16
201803617,0,2018,2,5,17
201803618,0,2018,2,5,18
201803619,0,2018,2,5,19
201803620,0,2018,2,5,20
201803621,0,2018,2,5,21
201803622,0,2018,2,5,22
201803623,0,2018,2,5,23
201803700,1,2018,2,6,0
201803701,1,2018,2,6,1
201803702,1,2018,2,6,2
201803703,1,2018,2,6,3
201803704,1,2018,2,6,4
201803705,1,2018,2,6,5
201803706,1,2018,2,6,6
201803707,1,2018,2,6,7
201803708,1,2018,2,6,8
201803709,1,2018,2,6,9
201803710,1,2018,2,6,10
201803711,1,2018,2,6,11
201803712,1,2018,2,6,12
201803713,1,2018,2,6,13
201803714,1,2018,2,6,14
201803715,1,2018,2,6,15
201803716,1,2018,2,6,16
201803717,1,2018,2,6,17
201803718,1,2018,2,6,18
201803719,1,2018,2,6,19
201803720,1,2018,2,6,20
201803721,1,2018,2,6,21
201803722,1,2018,2,6,22
201803723,1,2018,2,6,23
201803800,2,2018,2,7,0
201803801,2,2018,2,7,1
201803802,2,2018,2,7,2
201803803,2,2018,2,7,3
201803804,2,2018,2,7,4
201803805,2,2018,2,7,5
201803806,2,2018,2,7,6
201803807,2,2018,2,7,7
201803808,2,2018,2,7,8
201803809,2,2018,2,7,9
201803810,2,2018,2,7,10
201803811,2,2018,2,7,11
201803812,2,2018,2,7,12
201803813,2,2018,2,7,13
201803814,2,2018,2,7,14
201803815,2,2018,2,7,15
201803816,2,2018,2,7,16
201803817,2,2018,2,7,17
201803818,2,2018,2,7,18
201803819,2,2018,2,7,19
201803820,2,2018,2,7,20
201803821,2,2018,2,7,21
201803822,2,2018,2,7,22
201803823,2,2018,2,7,23
201803900,3,2018,2,8,0
201803901,3,2018,2,8,1
201803902,3,2018,2,8,2
201803903,3,2018,2,8,3
201803904,3,2018,2,8,4
201803905,3,2018,2,8,5
201803906,3,2018,2,8,6
201803907,3,2018,2,8,7
201803908,3,2018,2,8,8
201803909,3,2018,2,8,9
201803910,3,2018,2,8,10
201803911,3,2018,2,8,11
201803912,3,2018,2,8,12
201803913,3,2018,2,8,13
201803914,3,2018,2,8,14
201803915,3,2018,2,8,15
201803916,3,2018,2,8,16
201803917,3,2018,2,8,17
